Date,Open,High,Low,Close,Adj Close,Volume
2022-05-09,3490.000000,3584.699951,3480.000000,3568.750000,3439.566162,502719
2022-05-10,3564.949951,3646.699951,3540.000000,3593.050049,3462.986572,507087
2022-05-11,3600.000000,3627.949951,3537.300049,3612.850098,3482.069824,437746
2022-05-12,3585.000000,3654.000000,3539.199951,3585.000000,3455.228027,777332
2022-05-13,3618.050049,3736.000000,3618.050049,3642.100098,3510.261230,633218
2022-05-16,3650.000000,3725.000000,3650.000000,3715.850098,3581.341553,401803
2022-05-17,3725.100098,3787.000000,3725.100098,3742.899902,3607.412109,402398
2022-05-18,3743.000000,3829.500000,3736.199951,3791.199951,3653.963867,507061
2022-05-19,3691.899902,3778.000000,3680.050049,3698.550049,3564.667725,261026
2022-05-20,3760.000000,3849.000000,3735.000000,3787.800049,3650.687012,396832
2022-05-23,3836.000000,3874.500000,3770.000000,3786.149902,3649.096436,339483
2022-05-24,3817.399902,3842.000000,3771.050049,3783.300049,3646.349854,369304
2022-05-25,3814.550049,3819.000000,3742.250000,3791.800049,3654.542236,225253
2022-05-26,3801.100098,3870.000000,3754.050049,3857.350098,3717.719482,419826
2022-05-27,3875.000000,3890.000000,3823.050049,3833.050049,3694.298828,422591
2022-05-30,3860.000000,3903.149902,3843.050049,3856.699951,3717.092773,271827
2022-05-31,3876.000000,3958.000000,3839.000000,3864.100098,3724.225098,1154256
2022-06-01,3877.199951,3904.000000,3707.300049,3720.100098,3585.437744,784215
2022-06-02,3720.100098,3749.899902,3666.350098,3688.699951,3555.174072,346754
2022-06-03,3719.000000,3733.899902,3650.000000,3672.699951,3539.753174,409815
2022-06-06,3660.000000,3869.750000,3650.500000,3817.000000,3678.829834,1136609
2022-06-07,3765.000000,3853.649902,3765.000000,3834.100098,3695.311035,561644
2022-06-08,3833.500000,3850.000000,3768.050049,3794.149902,3656.806885,346603
2022-06-09,3794.149902,3895.000000,3779.399902,3878.649902,3738.248047,627869
2022-06-10,3956.300049,3971.000000,3850.000000,3881.000000,3740.513184,1412838
2022-06-13,3825.000000,3895.050049,3794.449951,3881.250000,3740.754150,519745
2022-06-14,3885.000000,3915.750000,3602.949951,3681.750000,3548.475830,1733394
2022-06-15,3700.000000,3742.649902,3645.000000,3698.100098,3564.233887,753821
2022-06-16,3736.800049,3736.800049,3633.000000,3658.199951,3525.778076,438590
2022-06-17,3670.000000,3713.949951,3615.600098,3628.949951,3497.586914,727356
2022-06-20,3620.250000,3638.800049,3574.800049,3615.949951,3485.057617,268242
2022-06-21,3631.000000,3675.000000,3616.050049,3645.250000,3513.296875,424763
2022-06-22,3645.000000,3721.500000,3614.149902,3635.649902,3504.044434,585483
2022-06-23,3680.100098,3796.000000,3665.250000,3784.800049,3647.795410,1186420
2022-06-24,3800.800049,3841.350098,3781.949951,3813.350098,3675.312012,558798
2022-06-27,3870.000000,3958.449951,3817.000000,3861.199951,3721.429932,1819576
2022-06-28,3839.949951,3907.199951,3783.050049,3889.000000,3748.223633,799053
2022-06-29,3880.000000,3900.000000,3856.050049,3867.550049,3727.550049,524392
2022-06-30,3750.000000,3768.350098,3692.000000,3706.600098,3706.600098,715926
2022-07-01,3667.949951,3678.699951,3601.100098,3624.600098,3624.600098,756589
2022-07-04,3644.399902,3695.149902,3608.000000,3679.750000,3679.750000,536505
2022-07-05,3700.000000,3700.000000,3663.000000,3682.750000,3682.750000,294980
2022-07-06,3682.000000,3777.300049,3675.149902,3773.050049,3773.050049,333226
2022-07-07,3786.300049,3836.100098,3785.000000,3795.500000,3795.500000,534547
2022-07-08,3830.000000,3830.000000,3792.699951,3825.000000,3825.000000,326804
2022-07-11,3820.000000,3858.000000,3795.000000,3848.550049,3848.550049,372417
2022-07-12,3853.000000,3863.000000,3832.050049,3847.850098,3847.850098,244636
2022-07-13,3858.000000,3878.949951,3848.000000,3860.750000,3860.750000,308508
2022-07-14,3858.899902,3885.949951,3841.000000,3863.199951,3863.199951,377688
2022-07-15,3863.000000,3919.000000,3861.000000,3913.350098,3913.350098,281730
2022-07-18,3930.000000,3990.000000,3925.100098,3984.050049,3984.050049,513318
2022-07-19,3977.050049,4036.000000,3966.000000,4002.000000,4002.000000,512451
2022-07-20,4018.000000,4055.000000,3999.000000,4002.050049,4002.050049,377717
2022-07-21,4004.649902,4070.600098,3993.449951,4057.050049,4057.050049,371547
2022-07-22,4065.000000,4091.000000,4045.250000,4054.500000,4054.500000,280291
2022-07-25,4054.500000,4073.949951,3998.300049,4021.149902,4021.149902,372987
2022-07-26,4014.000000,4030.000000,3917.000000,3925.600098,3925.600098,882407
